"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber",ssn,"step","ts","_start","_end","_type"
"1365",":Debit:Transaction","3319.971887785615","","false","612",tx-612,"","","","6","6",,,
"2821",":Debit:Transaction","9767.240293342953","","false","1613","tx-1613","",,"","7","7",,,
"3346",":Debit:Transaction","2678.193740878783","","false","2023","tx-2023","","","","8","8",,,
"4454",":Debit:Transaction","1630.5557889714225","","false","2997","tx-2997","","","","8","8",,,
"4734",":Debit:Transaction","16774.943253403253","","false","3227","tx-3227","","","","8","8",,,
"5798",":Debit:Transaction","17252.27810616775","","false","4145","tx-4145","","","","8","8",,,
"8303",":Debit:Transaction","5147.2295103064125","","false","6477","tx-6477","","","","9","9",,,
"8647",":Debit:Transaction","6292.776950469299","","false","6797","tx-6797","","","","9","9",,,
"8648",":Debit:Transaction","2797.1272695788102","","false","6798","tx-6798","","","","9","9",,,
"8917",":Debit:Transaction","2031.5614943054688","","false","7054","tx-7054","","","","9","9",,,
"9267",":Debit:Transaction","14253.160089070061","","false","7384","tx-7384","","","","9","9",,,
"9486",":Debit:Transaction","5430.462579580512","","false","7592","tx-7592","","","","9","9",,,
"9487",":Debit:Transaction","1403.5006182860297","","false","7593","tx-7593","","","","9","9",,,
"9579",":Debit:Transaction","11467.77623262677","","false","7678","tx-7678","","","","9","9",,,
"9735",":Debit:Transaction","4455.800633077134","","false","7824","tx-7824","","","","9","9",,,
"11688",":Debit:Transaction","6453.600925919558","","false","9691","tx-9691","","","","10","10",,,
"11716",":Debit:Transaction","1093.0475198848967","","false","9714","tx-9714","","","","10","10",,,
"12296",":Debit:Transaction","6692.551226222237","","false","10277","tx-10277","","","","10","10",,,
"13014",":Debit:Transaction","9569.072063800637","","false","10972","tx-10972","","","","10","10",,,
"13120",":Debit:Transaction","9132.628334175071","","false","11076","tx-11076","","","","10","10",,,
"13200",":Debit:Transaction","1130.505345703185","","false","11150","tx-11150","","","","10","10",,,
"13476",":Debit:Transaction","2713.2400058576814","","false","11416","tx-11416","","","","10","10",,,
"14092",":Debit:Transaction","12987.87847322025","","false","12018","tx-12018","","","","10","10",,,
"14203",":Debit:Transaction","10718.192192437436","","false","12126","tx-12126","","","","10","10",,,
"14403",":Debit:Transaction","5148.886892654339","","false","12321","tx-12321","","","","11","11",,,
"14459",":Debit:Transaction","2299.015563943623","","false","12375","tx-12375","","","","11","11",,,
"14960",":Debit:Transaction","19105.503212239808","","false","12863","tx-12863","","","","11","11",,,
"15144",":Debit:Transaction","10820.798095592028","","false","13039","tx-13039","","","","11","11",,,
"15623",":Debit:Transaction","9159.364933921537","","false","13508","tx-13508","","","","11","11",,,
"15701",":Debit:Transaction","15610.003160192908","","false","13583","tx-13583","","","","11","11",,,
"16089",":Debit:Transaction","18659.042329746","","false","13964","tx-13964","","","","11","11",,,
"16622",":Debit:Transaction","29844.942703576737","","false","14489","tx-14489","","","","11","11",,,
"17044",":Debit:Transaction","7795.029149332453","","false","14895","tx-14895","","","","11","11",,,
"17088",":Debit:Transaction","8319.06578913972","","false","14938","tx-14938","","","","11","11",,,
"17185",":Debit:Transaction","12900.659294647734","","false","15035","tx-15035","","","","12","12",,,
"17531",":Debit:Transaction","43623.37872541698","","false","15376","tx-15376","","","","12","12",,,
"17821",":Debit:Transaction","14066.137096108469","","false","15662","tx-15662","","","","12","12",,,
"18172",":Debit:Transaction","3336.6886768511913","","false","298503","tx-298503","","","","354","354",,,
"18557",":Debit:Transaction","31067.224584547606","","false","16372","tx-16372","","","","12","12",,,
"18881",":Debit:Transaction","37563.239613534635","","false","16693","tx-16693","","","","12","12",,,
"19194",":Debit:Transaction","41085.90864623716","","false","17002","tx-17002","","","","12","12",,,
"19245",":Debit:Transaction","10939.75542560928","","false","17052","tx-17052","","","","12","12",,,
"19302",":Debit:Transaction","18682.171854869877","","false","17109","tx-17109","","","","12","12",,,
"19351",":Debit:Transaction","1971.1664542211893","","false","17155","tx-17155","","","","12","12",,,
"19973",":Debit:Transaction","12770.019699442115","","false","17771","tx-17771","","","","13","13",,,
"20078",":Debit:Transaction","7657.708095688177","","false","17876","tx-17876","","","","13","13",,,
"20297",":Debit:Transaction","9374.027305703516","","false","18095","tx-18095","","","","13","13",,,
"20298",":Debit:Transaction","4952.371745074466","","false","18096","tx-18096","","","","13","13",,,
"20445",":Debit:Transaction","749.1999298899686","","false","18243","tx-18243","","","","13","13",,,
"20832",":Debit:Transaction","1769.6476575034533","","false","18623","tx-18623","","","","13","13",,,
"21116",":Debit:Transaction","4581.52561019124","","false","18904","tx-18904","","","","13","13",,,
"21909",":Debit:Transaction","2058.6484009519017","","false","19686","tx-19686","","","","13","13",,,
"22150",":Debit:Transaction","4761.381482098697","","false","19926","tx-19926","","","","13","13",,,
