"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber","ssn","step","ts","_start","_end","_type"
"1",":Merchant","","","","","03-0000524","MYrsa","","","","",,,
"3",":Merchant","","","","","93-0006151","MFelics Ltd","","","","",,,
"6",":Merchant","","","","","21-0007658","MNonos Company","","","","",,,
"9",":Merchant","","","","","90-0004348","MWoods Inc.","","","","",,,
"12",":Merchant","","","","","05-0004177","MTerson","","","","",,,
"15",":Merchant","","","","","00-0005046","MErntogra Consulting","","","","",,,
"18",":Merchant","","","","","38-0003928","MWoods LLC","","","","",,,
"21",":Merchant","","","","","50-0005097","MBuapel","","","","",,,
"24",":Merchant","","","","","22-0003901","MPorta Company","","","","",,,
"27",":Merchant","","","","","61-0000716","MQuicker","","","","",,,
"30",":Merchant","","","","","74-0001162","MFelics","","","","",,,
"33",":Merchant","","","","","63-0001754","MGualas","","","","",,,
"36",":Merchant","","","","","05-0000268","MMemorTech Associates","","","","",,,
"39",":Merchant","","","","","25-0000709","MQuisuc Consulting","","","","",,,
"41",":Merchant","","","","","30-0005720","MMorsem","","","","",,,
"44",":Merchant","","","","","93-0008404","MQuickLink Ltd","","","","",,,
"47",":Merchant","","","","","93-0007834","MFlyHigh Inc.","","","","",,,
"50",":Merchant","","","","","56-0003850","MAdapt","","","","",,,
"53",":Merchant","","","","","62-0002376","MDatastore Limited","","","","",,,
"56",":Merchant","","","","","13-0001225","MAdapt LLC","","","","",,,
"59",":Merchant","","","","","54-0006304","MTerson","","","","",,,
"62",":Merchant","","","","","98-0005415","MRobutenia Associates","","","","",,,
"65",":Merchant","","","","","68-0006013","MAdapt","","","","",,,
"68",":Merchant","","","","","34-0003937","MFlyHigh","","","","",,,
"71",":Merchant","","","","","24-0001932","MPorta LLC","","","","",,,
"75",":Merchant","","","","","64-0005997","MVitae Consulting","","","","",,,
"77",":Merchant","","","","","63-0008240","MVitae","","","","",,,
"80",":Merchant","","","","","65-0003983","MPorta Associates","","","","",,,
"82",":Merchant","","","","","33-0005648","MAdapt Industries","","","","",,,
"85",":Merchant","","","","","86-0002742","MMemorTech","","","","",,,
"88",":Merchant","","","","","14-0007256","MQuisuc","","","","",,,
"91",":Merchant","","","","","20-0003095","MMemorTech Ltd","","","","",,,
"94",":Merchant","","","","","93-0001238","MBeans Company","","","","",,,
"97",":Merchant","","","","","36-0009926","MQuisuc","","","","",,,
"100",":Merchant","","","","","50-0007044","MQuicker","","","","",,,
"102",":Merchant","","","","","74-0007852","MVitae","","","","",,,
"105",":Merchant","","","","","99-0009397","MSuperMemo","","","","",,,
"107",":Merchant","","","","","06-0007507","MBuapel","","","","",,,
"110",":Merchant","","","","","77-0001401","MQuicker","","","","",,,
"113",":Merchant","","","","","51-0003411","MNonos","","","","",,,
"116",":Merchant","","","","","30-0008605","MKlein Associates","","","","",,,
"118",":Merchant","","","","","80-0006154","MFlyHigh","","","","",,,
"120",":Merchant","","","","","03-0001607","MErntogra","","","","",,,
"123",":Merchant","","","","","86-0000207","MYrsa","","","","",,,
"127",":Merchant","","","","","40-0006167","MFurba Industries","","","","",,,
"133",":Merchant","","","","","23-0001717","MInterdem","","","","",,,
"135",":Merchant","","","","","15-0009167","MQuickLink Inc.","","","","",,,
"137",":Merchant","","","","","25-0000095","MRobutenia Consulting","","","","",,,
"142",":Merchant","","","","","12-0007839","MRobutenia Consulting","","","","",,,
"146",":Merchant","","","","","48-0008840","MFlyHigh Inc.","","","","",,,
"151",":Merchant","","","","","56-0008928","MVitae","","","","",,,
"154",":Merchant","","","","","93-0006979","MWoods Consulting","","","","",,,
"157",":Merchant","","","","","26-0001965","MTerson Company","","","","",,,
"160",":Merchant","","","","","21-0007343","MQuicker","","","","",,,
"162",":Merchant","","","","","73-0006748","MQuisuc","","","","",,,
"164",":Merchant","","","","","72-0005929","MTerson LLC","","","","",,,
"167",":Merchant","","","","","62-0005486","MMemorTech Consulting","","","","",,,
"170",":Merchant","","","","","91-0002006","MQuisuc","","","","",,,
"175",":Merchant","","","","","10-0007629","MHostes Ltd","","","","",,,
"178",":Merchant","","","","","23-0000781","MHostes","","","","",,,
"181",":Merchant","","","","","23-0001633","MFurba Associates","","","","",,,
"188",":Merchant","","","","","05-0007663","MAlist","","","","",,,
"191",":Merchant","","","","","37-0003148","MDatastore","","","","",,,
"193",":Merchant","","","","","10-0006818","MQuickLink","","","","",,,
"195",":Merchant","","","","","43-0007026","MFlyHigh","","","","",,,
"198",":Merchant","","","","","14-0004554","MGualas Limited","","","","",,,
"200",":Merchant","","","","","05-0005163","MFlyHigh","","","","",,,
"203",":Merchant","","","","","00-0003119","MQuicker","","","","",,,
