"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber","ssn","step","ts","_start","_end","_type"
"1143",":Phone","","","","","","","989-350-5338","","","",,,
"1146",":Phone","","","","","","","387-850-1100","","","",,,
"1149",":Phone","","","","","","","986-306-9763","","","",,,
"1152",":Phone","","","","","","","058-507-023","","","",,,
"1155",":Phone","","","","","","","559-818-6298","","","",,,
"1158",":Phone","","","","","","","812-544-8403","","","",,,
"319203",":Phone","","","","","",,"649-112-139","","","",,,
"319206",":Phone","","","","","","","703-229-3374","","","",,,
"319209",":Phone","","","","","","","443-234-628","","","",,,
"319212",":Phone","","","","","","","698-670-0500","","","",,,
"319215",":Phone","","","","","","","230-900-555","","","",,,
"319218",":Phone","","","","","","","232-437-3901","","","",,,
"326341",":Phone","","","","","","","873-881-750","","","",,,
"326344",":Phone","","","","","","","752-306-7262","","","",,,
"326347",":Phone","","","","","","","308-206-349","","","",,,
"326350",":Phone","","","","","","","526-776-109","","","",,,
"326353",":Phone","","","","","","","627-417-022","","","",,,
"326356",":Phone","","","","","","","961-410-801","","","",,,
"326359",":Phone","","","","","","","347-571-321","","","",,,
"326362",":Phone","","","","","","","513-084-6780","","","",,,
"326365",":Phone","","","","","","","862-119-5997","","","",,,
"326368",":Phone","","","","","","","380-650-3961","","","",,,
"326371",":Phone","","","","","","","563-909-673","","","",,,
"326374",":Phone","","","","","","","607-551-362","","","",,,
"326377",":Phone","","","","","","","908-921-978","","","",,,
"326380",":Phone","","","","","","","243-752-2598","","","",,,
"326383",":Phone","","","","","","","910-357-444","","","",,,
"326386",":Phone","","","","","","","994-835-9846","","","",,,
"326389",":Phone","","","","","","","329-477-1415","","","",,,
"326392",":Phone","","","","","","","401-138-7170","","","",,,
"326395",":Phone","","","","","","","260-758-638","","","",,,
"326398",":Phone","","","","","","","469-967-2040","","","",,,
"326401",":Phone","","","","","","","881-428-687","","","",,,
"326404",":Phone","","","","","","","742-579-3111","","","",,,
"326407",":Phone","","","","","","","681-288-938","","","",,,
"326410",":Phone","","","","","","","172-337-6151","","","",,,
"326413",":Phone","","","","","","","681-656-880","","","",,,
"326416",":Phone","","","","","","","748-691-3409","","","",,,
"326419",":Phone","","","","","","","983-660-426","","","",,,
"326422",":Phone","","","","","","","785-233-8807","","","",,,
"326425",":Phone","","","","","","","671-231-862","","","",,,
"326428",":Phone","","","","","","","366-972-8363","","","",,,
"326431",":Phone","","","","","","","077-388-1250","","","",,,
"326434",":Phone","","","","","","","987-201-674","","","",,,
"326437",":Phone","","","","","","","646-028-5944","","","",,,
