"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber","ssn","step","ts","_start","_end","_type"
"1141",":SSN","","","","","","","","015-69-1627","","",,,
"1144",":SSN","","","","","","","","330-62-5168","","",,,
"1147",":SSN","","","","","","","","247-24-6838","","",,,
"1150",":SSN","","","","","","","","795-85-4987","","",,,
"1153",":SSN","","","","","","","","746-66-3599","","",,,
"1156",":SSN","","","","","","","","391-48-5284","","",,,
"1159",":SSN","","","","","","","","336-63-4104","","",,,
"319201",":SSN","","","","","","","","412-56-8981","","",,,
"319204",":SSN","","","","","","","","147-35-6962","","",,,
"319207",":SSN","","","","","","","","855-63-9985","","",,,
"319210",":SSN","","","","","","","","603-70-6789","","",,,
"319213",":SSN","","","","","","","","883-30-6010","","",,,
"319216",":SSN","","","","","","","","682-71-0364","","",,,
"319219",":SSN","","","","","","","","731-38-0487","","",,,
"326342",":SSN","","","","","","","","672-82-8498","","",,,
"326345",":SSN","","","","","","","","280-07-8702","","",,,
"326348",":SSN","","","","","","","","315-57-9314","","",,,
"326351",":SSN","","","","","","","","721-52-5821","","",,,
"326354",":SSN","","","","","","","","524-39-6650","","",,,
"326357",":SSN","","","","","","","","817-79-5680","","",,,
"326360",":SSN","","","","","","","","239-97-9608","","",,,
"326363",":SSN","","","","","","","","765-04-5190","","",,,
"326366",":SSN","","","","","","","","221-25-6124","","",,,
"326369",":SSN","","","","","","","","347-30-7230","","",,,
"326372",":SSN","","","","","","","","690-46-6631","","",,,
"326375",":SSN","","","","","","","","119-60-3886","","",,,
"326378",":SSN","","","","","","","","471-74-1298","","",,,
"326381",":SSN","","","","","","","","488-99-0875","","",,,
"326384",":SSN","","","","","","","","760-30-0646","","",,,
"326387",":SSN","","","","","","","","124-22-4924","","",,,
"326390",":SSN","","","","","","","","079-25-9874","","",,,
"326393",":SSN","","","","","","","","514-37-9585","","",,,
"326396",":SSN","","","","","","","","165-62-2819","","",,,
"326399",":SSN","","","","","","","","691-83-2855","","",,,
"326402",":SSN","","","","","","","","114-33-7096","","",,,
"326405",":SSN","","","","","","","","113-74-4272","","",,,
"326408",":SSN","","","","","","","","867-29-6620","","",,,
"326411",":SSN","","","","","","","","619-17-7778","","",,,
"326414",":SSN","","","","","","","","503-50-8813","","",,,
"326417",":SSN","","","","","","","","626-30-8835","","",,,
"326420",":SSN","","","","","","","","450-61-1953","","",,,
"326423",":SSN","","","","","","","","726-71-7636","","",,,
"326426",":SSN","","","","","","","","855-56-5096","","",,,
"326429",":SSN","","","","","","","","833-68-4952","","",,,
"326432",":SSN","","","","","","","","897-11-6678","","",,,
"326435",":SSN","","","","","","","","281-18-8172","","",,,
"326438",":SSN","","","","","","","","878-30-7924","","",,,
"326441",":SSN","","","","","","","","693-29-5711","","",,,
"326444",":SSN","","","","","","","","299-09-9811","","",,,
"326447",":SSN","","","","","","","","619-43-4696","","",,,
"326450",":SSN","","","","","","","","530-70-6819","","",,,
"326453",":SSN","","","","","","","","217-13-7517","","",,,
"326456",":SSN","","","","","","","","179-48-9194","","",,,
"326459",":SSN","","","","","","","","193-78-3106","","",,,
"326462",":SSN","","","","","","","","208-44-0258","","",,,
"326465",":SSN","","","","","","","","820-57-9540","","",,,
"326468",":SSN","","","","","","","","154-71-2859","","",,,
"326471",":SSN","","","","","","","","597-26-0107","","",,,
"326474",":SSN","","","","","","","","437-67-5037","","",,,
"326477",":SSN","","","","","","","","042-93-6328","","",,,
"326480",":SSN","","","","","","","","368-42-4150","","",,,
"326483",":SSN","","","","","","","","614-87-2612","","",,,
"326486",":SSN","","","","","","","","222-66-9733","","",,,
"326489",":SSN","","","","","","","","268-97-4528","","",,,
"326492",":SSN","","","","","","","","379-33-7569","","",,,
"326495",":SSN","","","","","","","","761-39-8013","","",,,
"326498",":SSN","","","","","","","","689-09-9571","","",,,
"326501",":SSN","","","","","","","","091-23-7553","","",,,
"326504",":SSN","","","","","","","","378-60-5487","","",,,
"326507",":SSN","","","","","","","","602-45-6270","","",,,
"326510",":SSN","","","","","","","","182-38-3153","","",,,
"326513",":SSN","","","","","","","","320-39-7232","","",,,
"326516",":SSN","","","","","","","","894-04-8316","","",,,
"326519",":SSN","","","","","","","","878-73-8080","","",,,
"326522",":SSN","","","","","","","","764-36-3943","","",,,
"326525",":SSN","","","","","","","","674-71-5263","","",,,
"326528",":SSN","","","","","","","","796-54-3814","","",,,
"326531",":SSN","","","","","","","","338-99-8879","","",,,
