"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber","ssn","step","ts","_start","_end","_type"
,,,,,,,,,,,,"0","2","FIRST_TX"
,,,,,,,,,,,,"5","7","FIRST_TX"
,,,,,,,,,,,,"8","10","FIRST_TX"
,,,,,,,,,,,,"11","13","FIRST_TX"
,,,,,,,,,,,,"14","16","FIRST_TX"
,,,,,,,,,,,,"17","19","FIRST_TX"
,,,,,,,,,,,,"20","22","FIRST_TX"
,,,,,,,,,,,,"23","25","FIRST_TX"
,,,,,,,,,,,,"26","28","FIRST_TX"
,,,,,,,,,,,,"29","31","FIRST_TX"
,,,,,,,,,,,,"32","34","FIRST_TX"
,,,,,,,,,,,,"35","37","FIRST_TX"
,,,,,,,,,,,,"38","40","FIRST_TX"
,,,,,,,,,,,,"43","45","FIRST_TX"
,,,,,,,,,,,,"46","48","FIRST_TX"
,,,,,,,,,,,,"49","51","FIRST_TX"
,,,,,,,,,,,,"52","54","FIRST_TX"
,,,,,,,,,,,,"55","57","FIRST_TX"
,,,,,,,,,,,,"58","60","FIRST_TX"
,,,,,,,,,,,,"61","63","FIRST_TX"
,,,,,,,,,,,,"64","66","FIRST_TX"
,,,,,,,,,,,,"67","69","FIRST_TX"
,,,,,,,,,,,,"70","72","FIRST_TX"
,,,,,,,,,,,,"73","74","FIRST_TX"
,,,,,,,,,,,,"79","81","FIRST_TX"
,,,,,,,,,,,,"84","86","FIRST_TX"
,,,,,,,,,,,,"87","89","FIRST_TX"
,,,,,,,,,,,,"90","92","FIRST_TX"
,,,,,,,,,,,,"93","95","FIRST_TX"
,,,,,,,,,,,,"96","98","FIRST_TX"
,,,,,,,,,,,,"99","101","FIRST_TX"
,,,,,,,,,,,,"104","106","FIRST_TX"
,,,,,,,,,,,,"109","111","FIRST_TX"
,,,,,,,,,,,,"112","114","FIRST_TX"
,,,,,,,,,,,,"115","117","FIRST_TX"
,,,,,,,,,,,,"122","124","FIRST_TX"
,,,,,,,,,,,,"125","126","FIRST_TX"
,,,,,,,,,,,,"129","131","FIRST_TX"
,,,,,,,,,,,,"132","134","FIRST_TX"
,,,,,,,,,,,,"139","140","FIRST_TX"
,,,,,,,,,,,,"141","143","FIRST_TX"
,,,,,,,,,,,,"145","147","FIRST_TX"
,,,,,,,,,,,,"148","149","FIRST_TX"
,,,,,,,,,,,,"150","152","FIRST_TX"
,,,,,,,,,,,,"153","155","FIRST_TX"
,,,,,,,,,,,,"156","158","FIRST_TX"
,,,,,,,,,,,,"159","161","FIRST_TX"
,,,,,,,,,,,,"166","168","FIRST_TX"
,,,,,,,,,,,,"169","171","FIRST_TX"
,,,,,,,,,,,,"172","173","FIRST_TX"
,,,,,,,,,,,,"174","176","FIRST_TX"
