"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber","ssn","step","ts","_start","_end","_type"
,,,,,,,,,,,,"65519","319202","HAS_EMAIL"
,,,,,,,,,,,,"99476","319205","HAS_EMAIL"
,,,,,,,,,,,,"33533","319208","HAS_EMAIL"
,,,,,,,,,,,,"47278","319211","HAS_EMAIL"
,,,,,,,,,,,,"38100","319214","HAS_EMAIL"
,,,,,,,,,,,,"12622","319217","HAS_EMAIL"
,,,,,,,,,,,,"52885","326340","HAS_EMAIL"
,,,,,,,,,,,,"17395","326343","HAS_EMAIL"
,,,,,,,,,,,,"58609","326346","HAS_EMAIL"
,,,,,,,,,,,,"52520","326349","HAS_EMAIL"
,,,,,,,,,,,,"45895","326352","HAS_EMAIL"
,,,,,,,,,,,,"42951","326355","HAS_EMAIL"
,,,,,,,,,,,,"15293","326358","HAS_EMAIL"
,,,,,,,,,,,,"3083","326361","HAS_EMAIL"
,,,,,,,,,,,,"35746","326364","HAS_EMAIL"
,,,,,,,,,,,,"92369","326367","HAS_EMAIL"
,,,,,,,,,,,,"56247","326370","HAS_EMAIL"
,,,,,,,,,,,,"57108","326373","HAS_EMAIL"
,,,,,,,,,,,,"54419","326376","HAS_EMAIL"
,,,,,,,,,,,,"51129","326379","HAS_EMAIL"
,,,,,,,,,,,,"4028","326382","HAS_EMAIL"
,,,,,,,,,,,,"70772","326385","HAS_EMAIL"
,,,,,,,,,,,,"11020","326388","HAS_EMAIL"
,,,,,,,,,,,,"25137","326391","HAS_EMAIL"
,,,,,,,,,,,,"17766","326394","HAS_EMAIL"
,,,,,,,,,,,,"1046","326397","HAS_EMAIL"
,,,,,,,,,,,,"97491","326400","HAS_EMAIL"
,,,,,,,,,,,,"38469","326403","HAS_EMAIL"
,,,,,,,,,,,,"36272","326406","HAS_EMAIL"
,,,,,,,,,,,,"92407","326409","HAS_EMAIL"
,,,,,,,,,,,,"26039","326412","HAS_EMAIL"
,,,,,,,,,,,,"139449","326415","HAS_EMAIL"
,,,,,,,,,,,,"33894","326418","HAS_EMAIL"
,,,,,,,,,,,,"69810","326421","HAS_EMAIL"
,,,,,,,,,,,,"64465","326424","HAS_EMAIL"
,,,,,,,,,,,,"55937","326427","HAS_EMAIL"
,,,,,,,,,,,,"41430","326430","HAS_EMAIL"
,,,,,,,,,,,,"92434","326433","HAS_EMAIL"
,,,,,,,,,,,,"1007","326436","HAS_EMAIL"
,,,,,,,,,,,,"48810","326439","HAS_EMAIL"
,,,,,,,,,,,,"25927","326442","HAS_EMAIL"
,,,,,,,,,,,,"43698","326445","HAS_EMAIL"
,,,,,,,,,,,,"50835","326448","HAS_EMAIL"
,,,,,,,,,,,,"45219","326451","HAS_EMAIL"
,,,,,,,,,,,,"75365","326454","HAS_EMAIL"
,,,,,,,,,,,,"30974","326457","HAS_EMAIL"
,,,,,,,,,,,,"78223","326460","HAS_EMAIL"
,,,,,,,,,,,,"47553","326463","HAS_EMAIL"
,,,,,,,,,,,,"1164","326466","HAS_EMAIL"
,,,,,,,,,,,,"92365","326469","HAS_EMAIL"
,,,,,,,,,,,,"71182","326472","HAS_EMAIL"
,,,,,,,,,,,,"51969","326475","HAS_EMAIL"
,,,,,,,,,,,,"68966","326478","HAS_EMAIL"
,,,,,,,,,,,,"36783","326481","HAS_EMAIL"
,,,,,,,,,,,,"92343","326484","HAS_EMAIL"
,,,,,,,,,,,,"13819","326487","HAS_EMAIL"
,,,,,,,,,,,,"63518","326490","HAS_EMAIL"
