"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber","ssn","step","ts","_start","_end","_type"
,,,,,,,,,,,,"65519","319203","HAS_PHONE"
,,,,,,,,,,,,"99476","319206","HAS_PHONE"
,,,,,,,,,,,,"33533","319209","HAS_PHONE"
,,,,,,,,,,,,"47278","319212","HAS_PHONE"
,,,,,,,,,,,,"38100","319215","HAS_PHONE"
,,,,,,,,,,,,"12622","319218","HAS_PHONE"
,,,,,,,,,,,,"52885","326341","HAS_PHONE"
,,,,,,,,,,,,"17395","326344","HAS_PHONE"
,,,,,,,,,,,,"58609","326347","HAS_PHONE"
,,,,,,,,,,,,"52520","326350","HAS_PHONE"
,,,,,,,,,,,,"45895","326353","HAS_PHONE"
,,,,,,,,,,,,"42951","326356","HAS_PHONE"
,,,,,,,,,,,,"15293","326359","HAS_PHONE"
,,,,,,,,,,,,"3083","326362","HAS_PHONE"
,,,,,,,,,,,,"35746","326365","HAS_PHONE"
,,,,,,,,,,,,"92369","326368","HAS_PHONE"
,,,,,,,,,,,,"56247","326371","HAS_PHONE"
,,,,,,,,,,,,"57108","326374","HAS_PHONE"
,,,,,,,,,,,,"54419","326377","HAS_PHONE"
,,,,,,,,,,,,"51129","326380","HAS_PHONE"
,,,,,,,,,,,,"4028","326383","HAS_PHONE"
,,,,,,,,,,,,"70772","326386","HAS_PHONE"
,,,,,,,,,,,,"11020","326389","HAS_PHONE"
,,,,,,,,,,,,"25137","326392","HAS_PHONE"
,,,,,,,,,,,,"17766","326395","HAS_PHONE"
,,,,,,,,,,,,"1046","326398","HAS_PHONE"
,,,,,,,,,,,,"97491","326401","HAS_PHONE"
,,,,,,,,,,,,"38469","326404","HAS_PHONE"
,,,,,,,,,,,,"36272","326407","HAS_PHONE"
,,,,,,,,,,,,"92407","326410","HAS_PHONE"
,,,,,,,,,,,,"26039","326413","HAS_PHONE"
,,,,,,,,,,,,"139449","326416","HAS_PHONE"
,,,,,,,,,,,,"33894","326419","HAS_PHONE"
,,,,,,,,,,,,"69810","326422","HAS_PHONE"
,,,,,,,,,,,,"64465","326425","HAS_PHONE"
,,,,,,,,,,,,"55937","326428","HAS_PHONE"
,,,,,,,,,,,,"41430","326431","HAS_PHONE"
,,,,,,,,,,,,"92434","326434","HAS_PHONE"
