"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber","ssn","step","ts","_start","_end","_type"
,,,,,,,,,,,,"65519","319201","HAS_SSN"
,,,,,,,,,,,,"99476","319204","HAS_SSN"
,,,,,,,,,,,,"33533","319207","HAS_SSN"
,,,,,,,,,,,,"47278","319210","HAS_SSN"
,,,,,,,,,,,,"38100","319213","HAS_SSN"
,,,,,,,,,,,,"12622","319216","HAS_SSN"
,,,,,,,,,,,,"52885","319219","HAS_SSN"
,,,,,,,,,,,,"17395","326342","HAS_SSN"
,,,,,,,,,,,,"58609","326345","HAS_SSN"
,,,,,,,,,,,,"52520","326348","HAS_SSN"
,,,,,,,,,,,,"45895","326351","HAS_SSN"
,,,,,,,,,,,,"42951","326354","HAS_SSN"
,,,,,,,,,,,,"15293","326357","HAS_SSN"
,,,,,,,,,,,,"3083","326360","HAS_SSN"
,,,,,,,,,,,,"35746","326363","HAS_SSN"
,,,,,,,,,,,,"92369","326366","HAS_SSN"
,,,,,,,,,,,,"56247","326369","HAS_SSN"
,,,,,,,,,,,,"57108","326372","HAS_SSN"
,,,,,,,,,,,,"54419","326375","HAS_SSN"
,,,,,,,,,,,,"51129","326378","HAS_SSN"
,,,,,,,,,,,,"4028","326381","HAS_SSN"
,,,,,,,,,,,,"70772","326384","HAS_SSN"
,,,,,,,,,,,,"11020","326387","HAS_SSN"
,,,,,,,,,,,,"25137","326390","HAS_SSN"
,,,,,,,,,,,,"17766","326393","HAS_SSN"
,,,,,,,,,,,,"1046","326396","HAS_SSN"
,,,,,,,,,,,,"97491","326399","HAS_SSN"
,,,,,,,,,,,,"38469","326402","HAS_SSN"
,,,,,,,,,,,,"36272","326405","HAS_SSN"
,,,,,,,,,,,,"92407","326408","HAS_SSN"
,,,,,,,,,,,,"26039","326411","HAS_SSN"
,,,,,,,,,,,,"139449","326414","HAS_SSN"
,,,,,,,,,,,,"33894","326417","HAS_SSN"
,,,,,,,,,,,,"69810","326420","HAS_SSN"
,,,,,,,,,,,,"64465","326423","HAS_SSN"
,,,,,,,,,,,,"55937","326426","HAS_SSN"
,,,,,,,,,,,,"41430","326429","HAS_SSN"
,,,,,,,,,,,,"92434","326432","HAS_SSN"
,,,,,,,,,,,,"1007","326435","HAS_SSN"
,,,,,,,,,,,,"48810","326438","HAS_SSN"
,,,,,,,,,,,,"25927","326441","HAS_SSN"
,,,,,,,,,,,,"43698","326444","HAS_SSN"
,,,,,,,,,,,,"50835","326447","HAS_SSN"
,,,,,,,,,,,,"45219","326450","HAS_SSN"
,,,,,,,,,,,,"75365","326453","HAS_SSN"
,,,,,,,,,,,,"30974","326456","HAS_SSN"
,,,,,,,,,,,,"78223","326459","HAS_SSN"
,,,,,,,,,,,,"47553","326462","HAS_SSN"
,,,,,,,,,,,,"1164","326465","HAS_SSN"
,,,,,,,,,,,,"92365","326468","HAS_SSN"
,,,,,,,,,,,,"71182","326471","HAS_SSN"
,,,,,,,,,,,,"51969","326474","HAS_SSN"
,,,,,,,,,,,,"68966","326477","HAS_SSN"
,,,,,,,,,,,,"36783","326480","HAS_SSN"
,,,,,,,,,,,,"92343","326483","HAS_SSN"
,,,,,,,,,,,,"13819","326486","HAS_SSN"
,,,,,,,,,,,,"63518","326489","HAS_SSN"
,,,,,,,,,,,,"99468","326492","HAS_SSN"
,,,,,,,,,,,,"130","326495","HAS_SSN"
,,,,,,,,,,,,"1001","326498","HAS_SSN"
,,,,,,,,,,,,"13101","326501","HAS_SSN"
,,,,,,,,,,,,"12608","326504","HAS_SSN"
,,,,,,,,,,,,"66588","326507","HAS_SSN"
,,,,,,,,,,,,"70591","326510","HAS_SSN"
,,,,,,,,,,,,"23902","326513","HAS_SSN"
,,,,,,,,,,,,"11706","326516","HAS_SSN"
,,,,,,,,,,,,"31493","326519","HAS_SSN"
,,,,,,,,,,,,"42059","326522","HAS_SSN"
,,,,,,,,,,,,"60442","326525","HAS_SSN"
,,,,,,,,,,,,"92384","326528","HAS_SSN"
,,,,,,,,,,,,"47730","326531","HAS_SSN"
,,,,,,,,,,,,"41125","326534","HAS_SSN"
,,,,,,,,,,,,"38995","326537","HAS_SSN"
,,,,,,,,,,,,"85932","326540","HAS_SSN"
,,,,,,,,,,,,"67465","326543","HAS_SSN"
,,,,,,,,,,,,"39020","326546","HAS_SSN"
,,,,,,,,,,,,"39812","326549","HAS_SSN"
,,,,,,,,,,,,"61485","326552","HAS_SSN"
,,,,,,,,,,,,"49986","326555","HAS_SSN"
,,,,,,,,,,,,"38590","326558","HAS_SSN"
,,,,,,,,,,,,"92362","326561","HAS_SSN"
,,,,,,,,,,,,"36029","326564","HAS_SSN"
,,,,,,,,,,,,"1076","326567","HAS_SSN"
,,,,,,,,,,,,"16975","326570","HAS_SSN"
,,,,,,,,,,,,"51836","326573","HAS_SSN"
,,,,,,,,,,,,"50048","326576","HAS_SSN"
,,,,,,,,,,,,"47914","326579","HAS_SSN"
,,,,,,,,,,,,"99465","326582","HAS_SSN"
,,,,,,,,,,,,"27718","326585","HAS_SSN"
,,,,,,,,,,,,"66417","326588","HAS_SSN"
,,,,,,,,,,,,"125089","326591","HAS_SSN"
,,,,,,,,,,,,"16846","326594","HAS_SSN"
,,,,,,,,,,,,"1161","326597","HAS_SSN"
,,,,,,,,,,,,"69018","326600","HAS_SSN"
,,,,,,,,,,,,"45566","326603","HAS_SSN"
,,,,,,,,,,,,"56238","326606","HAS_SSN"
,,,,,,,,,,,,"34488","326609","HAS_SSN"
,,,,,,,,,,,,"92359","326612","HAS_SSN"
,,,,,,,,,,,,"104252","326615","HAS_SSN"
,,,,,,,,,,,,"24177","326618","HAS_SSN"
,,,,,,,,,,,,"2205","326621","HAS_SSN"
,,,,,,,,,,,,"39153","326624","HAS_SSN"
,,,,,,,,,,,,"821","326627","HAS_SSN"
,,,,,,,,,,,,"7564","326630","HAS_SSN"
,,,,,,,,,,,,"550","326633","HAS_SSN"
,,,,,,,,,,,,"518","326636","HAS_SSN"
,,,,,,,,,,,,"2414","326639","HAS_SSN"
,,,,,,,,,,,,"3663","326642","HAS_SSN"
,,,,,,,,,,,,"3174","326645","HAS_SSN"
,,,,,,,,,,,,"4560","326648","HAS_SSN"
,,,,,,,,,,,,"2371","326651","HAS_SSN"
,,,,,,,,,,,,"3429","326654","HAS_SSN"
,,,,,,,,,,,,"2302","326657","HAS_SSN"
,,,,,,,,,,,,"384","326660","HAS_SSN"
,,,,,,,,,,,,"14932","326663","HAS_SSN"
,,,,,,,,,,,,"4165","326666","HAS_SSN"
,,,,,,,,,,,,"16395","326669","HAS_SSN"
,,,,,,,,,,,,"5973","326672","HAS_SSN"
,,,,,,,,,,,,"2542","326675","HAS_SSN"
,,,,,,,,,,,,"7755","326678","HAS_SSN"
,,,,,,,,,,,,"878","326681","HAS_SSN"
,,,,,,,,,,,,"10208","326684","HAS_SSN"
,,,,,,,,,,,,"2587","326687","HAS_SSN"
,,,,,,,,,,,,"1600","326690","HAS_SSN"
,,,,,,,,,,,,"2264","326693","HAS_SSN"
,,,,,,,,,,,,"696","326696","HAS_SSN"
,,,,,,,,,,,,"3917","326699","HAS_SSN"
,,,,,,,,,,,,"893","326702","HAS_SSN"
,,,,,,,,,,,,"14934","326705","HAS_SSN"
,,,,,,,,,,,,"1393","326708","HAS_SSN"
,,,,,,,,,,,,"2423","326711","HAS_SSN"
,,,,,,,,,,,,"12759","326714","HAS_SSN"
,,,,,,,,,,,,"5313","326717","HAS_SSN"
,,,,,,,,,,,,"21117","326720","HAS_SSN"
,,,,,,,,,,,,"5667","326723","HAS_SSN"
,,,,,,,,,,,,"2885","326726","HAS_SSN"
,,,,,,,,,,,,"661","326729","HAS_SSN"
,,,,,,,,,,,,"1053","326732","HAS_SSN"
,,,,,,,,,,,,"493","326735","HAS_SSN"
,,,,,,,,,,,,"30258","326738","HAS_SSN"
,,,,,,,,,,,,"950","326741","HAS_SSN"
,,,,,,,,,,,,"1546","326744","HAS_SSN"
,,,,,,,,,,,,"6240","326747","HAS_SSN"
,,,,,,,,,,,,"3713","326750","HAS_SSN"
,,,,,,,,,,,,"9138","326753","HAS_SSN"
,,,,,,,,,,,,"38677","326756","HAS_SSN"
,,,,,,,,,,,,"3365","326759","HAS_SSN"
,,,,,,,,,,,,"2653","326762","HAS_SSN"
,,,,,,,,,,,,"13188","326765","HAS_SSN"
,,,,,,,,,,,,"6211","326768","HAS_SSN"
,,,,,,,,,,,,"4417","326771","HAS_SSN"
,,,,,,,,,,,,"14065","326774","HAS_SSN"
,,,,,,,,,,,,"14173","326777","HAS_SSN"
,,,,,,,,,,,,"852","326780","HAS_SSN"
,,,,,,,,,,,,"848","326783","HAS_SSN"
,,,,,,,,,,,,"6324","326786","HAS_SSN"
,,,,,,,,,,,,"22308","326789","HAS_SSN"
,,,,,,,,,,,,"2306","326792","HAS_SSN"
,,,,,,,,,,,,"761","326795","HAS_SSN"
,,,,,,,,,,,,"10283","326798","HAS_SSN"
,,,,,,,,,,,,"2785","326801","HAS_SSN"
,,,,,,,,,,,,"2739","326804","HAS_SSN"
,,,,,,,,,,,,"700","326807","HAS_SSN"
,,,,,,,,,,,,"10558","326810","HAS_SSN"
,,,,,,,,,,,,"909","326813","HAS_SSN"
,,,,,,,,,,,,"3505","326816","HAS_SSN"
,,,,,,,,,,,,"15548","326819","HAS_SSN"
,,,,,,,,,,,,"1254","326822","HAS_SSN"
,,,,,,,,,,,,"4275","326825","HAS_SSN"
,,,,,,,,,,,,"4230","326828","HAS_SSN"
,,,,,,,,,,,,"1609","326831","HAS_SSN"
,,,,,,,,,,,,"8904","326834","HAS_SSN"
,,,,,,,,,,,,"743","326837","HAS_SSN"
,,,,,,,,,,,,"9190","326840","HAS_SSN"
,,,,,,,,,,,,"3947","326843","HAS_SSN"
,,,,,,,,,,,,"9869","326846","HAS_SSN"
,,,,,,,,,,,,"23203","326849","HAS_SSN"
,,,,,,,,,,,,"29178","326852","HAS_SSN"
,,,,,,,,,,,,"875","326855","HAS_SSN"
,,,,,,,,,,,,"308","326858","HAS_SSN"
,,,,,,,,,,,,"545","326861","HAS_SSN"
,,,,,,,,,,,,"2336","326864","HAS_SSN"
,,,,,,,,,,,,"5372","326867","HAS_SSN"
,,,,,,,,,,,,"91064","326870","HAS_SSN"
,,,,,,,,,,,,"3704","326873","HAS_SSN"
,,,,,,,,,,,,"2718","326876","HAS_SSN"
,,,,,,,,,,,,"642","326879","HAS_SSN"
,,,,,,,,,,,,"2742","326882","HAS_SSN"
,,,,,,,,,,,,"1931","326885","HAS_SSN"
,,,,,,,,,,,,"6912","326888","HAS_SSN"
,,,,,,,,,,,,"885","326891","HAS_SSN"
,,,,,,,,,,,,"749","326894","HAS_SSN"
,,,,,,,,,,,,"941","326897","HAS_SSN"
,,,,,,,,,,,,"11177","326900","HAS_SSN"
,,,,,,,,,,,,"966","326903","HAS_SSN"
,,,,,,,,,,,,"1454","326906","HAS_SSN"
,,,,,,,,,,,,"2258","326909","HAS_SSN"
,,,,,,,,,,,,"1481","326912","HAS_SSN"
,,,,,,,,,,,,"2838","326915","HAS_SSN"
,,,,,,,,,,,,"2387","326918","HAS_SSN"
,,,,,,,,,,,,"11373","326921","HAS_SSN"
,,,,,,,,,,,,"3276","326924","HAS_SSN"
,,,,,,,,,,,,"17848","326927","HAS_SSN"
,,,,,,,,,,,,"28426","326930","HAS_SSN"
,,,,,,,,,,,,"698","326933","HAS_SSN"
,,,,,,,,,,,,"197","326936","HAS_SSN"
,,,,,,,,,,,,"3404","326939","HAS_SSN"
,,,,,,,,,,,,"76935","326942","HAS_SSN"
,,,,,,,,,,,,"8625","326945","HAS_SSN"
,,,,,,,,,,,,"2709","326948","HAS_SSN"
,,,,,,,,,,,,"3097","326951","HAS_SSN"
,,,,,,,,,,,,"7053","326954","HAS_SSN"
,,,,,,,,,,,,"7594","326957","HAS_SSN"
,,,,,,,,,,,,"28775","326960","HAS_SSN"
,,,,,,,,,,,,"1777","326963","HAS_SSN"
,,,,,,,,,,,,"3651","326966","HAS_SSN"
,,,,,,,,,,,,"4586","326969","HAS_SSN"
,,,,,,,,,,,,"1681","326972","HAS_SSN"
,,,,,,,,,,,,"46476","326975","HAS_SSN"
,,,,,,,,,,,,"2004","326978","HAS_SSN"
,,,,,,,,,,,,"26228","326981","HAS_SSN"
,,,,,,,,,,,,"669","326984","HAS_SSN"
,,,,,,,,,,,,"5955","326987","HAS_SSN"
,,,,,,,,,,,,"12073","326990","HAS_SSN"
,,,,,,,,,,,,"13193","326993","HAS_SSN"
,,,,,,,,,,,,"4969","326996","HAS_SSN"
,,,,,,,,,,,,"2844","326999","HAS_SSN"
,,,,,,,,,,,,"2484","327002","HAS_SSN"
,,,,,,,,,,,,"435","327005","HAS_SSN"
,,,,,,,,,,,,"4518","327008","HAS_SSN"
,,,,,,,,,,,,"4347","327011","HAS_SSN"
,,,,,,,,,,,,"42122","327014","HAS_SSN"
,,,,,,,,,,,,"9746","327017","HAS_SSN"
,,,,,,,,,,,,"15117","327020","HAS_SSN"
,,,,,,,,,,,,"1703","327023","HAS_SSN"
,,,,,,,,,,,,"2246","327026","HAS_SSN"
,,,,,,,,,,,,"2440","327029","HAS_SSN"
,,,,,,,,,,,,"5545","327032","HAS_SSN"
,,,,,,,,,,,,"4442","327035","HAS_SSN"
,,,,,,,,,,,,"5892","327038","HAS_SSN"
,,,,,,,,,,,,"6248","327041","HAS_SSN"
,,,,,,,,,,,,"2363","327044","HAS_SSN"
,,,,,,,,,,,,"3011","327047","HAS_SSN"
,,,,,,,,,,,,"4611","327050","HAS_SSN"
,,,,,,,,,,,,"2983","327053","HAS_SSN"
,,,,,,,,,,,,"26409","327056","HAS_SSN"
,,,,,,,,,,,,"2027","327059","HAS_SSN"
,,,,,,,,,,,,"2147","327062","HAS_SSN"
,,,,,,,,,,,,"2703","327065","HAS_SSN"
,,,,,,,,,,,,"2760","327068","HAS_SSN"
,,,,,,,,,,,,"34484","327071","HAS_SSN"
,,,,,,,,,,,,"8415","327074","HAS_SSN"
,,,,,,,,,,,,"5355","327077","HAS_SSN"
,,,,,,,,,,,,"37773","327080","HAS_SSN"
,,,,,,,,,,,,"2859","327083","HAS_SSN"
,,,,,,,,,,,,"830","327086","HAS_SSN"
,,,,,,,,,,,,"17000","327089","HAS_SSN"
,,,,,,,,,,,,"783","327092","HAS_SSN"
,,,,,,,,,,,,"22802","327095","HAS_SSN"
,,,,,,,,,,,,"1851","327098","HAS_SSN"
,,,,,,,,,,,,"3940","327101","HAS_SSN"
,,,,,,,,,,,,"226","327104","HAS_SSN"
,,,,,,,,,,,,"3312","327107","HAS_SSN"
,,,,,,,,,,,,"8353","327110","HAS_SSN"
,,,,,,,,,,,,"10496","327113","HAS_SSN"
,,,,,,,,,,,,"6105","327116","HAS_SSN"
,,,,,,,,,,,,"45160","327119","HAS_SSN"
,,,,,,,,,,,,"1943","327122","HAS_SSN"
,,,,,,,,,,,,"2492","327125","HAS_SSN"
,,,,,,,,,,,,"254","327128","HAS_SSN"
,,,,,,,,,,,,"27880","327131","HAS_SSN"
,,,,,,,,,,,,"2526","327134","HAS_SSN"
,,,,,,,,,,,,"6148","327137","HAS_SSN"
,,,,,,,,,,,,"3262","327140","HAS_SSN"
,,,,,,,,,,,,"1206","327143","HAS_SSN"
,,,,,,,,,,,,"8032","327146","HAS_SSN"
,,,,,,,,,,,,"1955","327149","HAS_SSN"
,,,,,,,,,,,,"794","327152","HAS_SSN"
,,,,,,,,,,,,"543","327155","HAS_SSN"
,,,,,,,,,,,,"15147","327158","HAS_SSN"
,,,,,,,,,,,,"2619","327161","HAS_SSN"
,,,,,,,,,,,,"25594","327164","HAS_SSN"
,,,,,,,,,,,,"2065","327167","HAS_SSN"
,,,,,,,,,,,,"2461","327170","HAS_SSN"
,,,,,,,,,,,,"1009","327173","HAS_SSN"
,,,,,,,,,,,,"2410","327176","HAS_SSN"
,,,,,,,,,,,,"2649","327179","HAS_SSN"
,,,,,,,,,,,,"1101","327182","HAS_SSN"
,,,,,,,,,,,,"8282","327185","HAS_SSN"
,,,,,,,,,,,,"22698","327188","HAS_SSN"
,,,,,,,,,,,,"12913","327191","HAS_SSN"
,,,,,,,,,,,,"2008","327194","HAS_SSN"
,,,,,,,,,,,,"5459","327197","HAS_SSN"
,,,,,,,,,,,,"2172","327200","HAS_SSN"
,,,,,,,,,,,,"2222","327203","HAS_SSN"
,,,,,,,,,,,,"1657","327206","HAS_SSN"
,,,,,,,,,,,,"1503","327209","HAS_SSN"
,,,,,,,,,,,,"1486","327212","HAS_SSN"
,,,,,,,,,,,,"401","327215","HAS_SSN"
,,,,,,,,,,,,"6509","327218","HAS_SSN"
,,,,,,,,,,,,"18265","327221","HAS_SSN"
,,,,,,,,,,,,"4361","327224","HAS_SSN"
,,,,,,,,,,,,"74210","327227","HAS_SSN"
,,,,,,,,,,,,"32","327230","HAS_SSN"
,,,,,,,,,,,,"22705","327233","HAS_SSN"
,,,,,,,,,,,,"20602","327236","HAS_SSN"
