"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber","ssn","step","ts","_start","_end","_type"
,,,,,,,,,,,,"0","326207","LAST_TX"
,,,,,,,,,,,,"5","323814","LAST_TX"
,,,,,,,,,,,,"8","325074","LAST_TX"
,,,,,,,,,,,,"11","325637","LAST_TX"
,,,,,,,,,,,,"14","326104","LAST_TX"
,,,,,,,,,,,,"17","324607","LAST_TX"
,,,,,,,,,,,,"20","326018","LAST_TX"
,,,,,,,,,,,,"23","320830","LAST_TX"
,,,,,,,,,,,,"26","324298","LAST_TX"
,,,,,,,,,,,,"29","326059","LAST_TX"
,,,,,,,,,,,,"32","325675","LAST_TX"
,,,,,,,,,,,,"35","322980","LAST_TX"
,,,,,,,,,,,,"38","324289","LAST_TX"
,,,,,,,,,,,,"43","326204","LAST_TX"
,,,,,,,,,,,,"46","325541","LAST_TX"
,,,,,,,,,,,,"49","324145","LAST_TX"
,,,,,,,,,,,,"52","325979","LAST_TX"
,,,,,,,,,,,,"55","326188","LAST_TX"
,,,,,,,,,,,,"58","320884","LAST_TX"
,,,,,,,,,,,,"61","326123","LAST_TX"
,,,,,,,,,,,,"64","326295","LAST_TX"
,,,,,,,,,,,,"67","322492","LAST_TX"
,,,,,,,,,,,,"70","321817","LAST_TX"
,,,,,,,,,,,,"73","325963","LAST_TX"
,,,,,,,,,,,,"79","325333","LAST_TX"
,,,,,,,,,,,,"84","326276","LAST_TX"
,,,,,,,,,,,,"87","325589","LAST_TX"
,,,,,,,,,,,,"90","326160","LAST_TX"
,,,,,,,,,,,,"93","324650","LAST_TX"
,,,,,,,,,,,,"96","326096","LAST_TX"
,,,,,,,,,,,,"99","326128","LAST_TX"
,,,,,,,,,,,,"104","325198","LAST_TX"
,,,,,,,,,,,,"109","325876","LAST_TX"
,,,,,,,,,,,,"112","326107","LAST_TX"
,,,,,,,,,,,,"115","326291","LAST_TX"
,,,,,,,,,,,,"122","320864","LAST_TX"
,,,,,,,,,,,,"125","324197","LAST_TX"
,,,,,,,,,,,,"129","131","LAST_TX"
,,,,,,,,,,,,"132","325239","LAST_TX"
,,,,,,,,,,,,"139","326222","LAST_TX"
,,,,,,,,,,,,"141","325283","LAST_TX"
,,,,,,,,,,,,"145","326208","LAST_TX"
,,,,,,,,,,,,"148","325715","LAST_TX"
,,,,,,,,,,,,"150","325880","LAST_TX"
,,,,,,,,,,,,"153","324503","LAST_TX"
,,,,,,,,,,,,"156","325732","LAST_TX"
,,,,,,,,,,,,"159","326194","LAST_TX"
,,,,,,,,,,,,"166","325485","LAST_TX"
,,,,,,,,,,,,"169","325564","LAST_TX"
,,,,,,,,,,,,"172","319292","LAST_TX"
,,,,,,,,,,,,"174","325735","LAST_TX"
,,,,,,,,,,,,"177","324449","LAST_TX"
,,,,,,,,,,,,"180","325214","LAST_TX"
,,,,,,,,,,,,"183","314079","LAST_TX"
,,,,,,,,,,,,"185","320604","LAST_TX"
,,,,,,,,,,,,"187","326172","LAST_TX"
,,,,,,,,,,,,"197","326042","LAST_TX"
,,,,,,,,,,,,"202","323050","LAST_TX"
,,,,,,,,,,,,"205","325630","LAST_TX"
,,,,,,,,,,,,"208","325973","LAST_TX"
,,,,,,,,,,,,"211","321570","LAST_TX"
,,,,,,,,,,,,"214","325191","LAST_TX"
,,,,,,,,,,,,"217","323215","LAST_TX"
,,,,,,,,,,,,"220","325681","LAST_TX"
,,,,,,,,,,,,"223","325818","LAST_TX"
,,,,,,,,,,,,"226","325695","LAST_TX"
,,,,,,,,,,,,"229","325791","LAST_TX"
,,,,,,,,,,,,"232","326053","LAST_TX"
,,,,,,,,,,,,"235","324171","LAST_TX"
,,,,,,,,,,,,"238","326052","LAST_TX"
,,,,,,,,,,,,"241","323338","LAST_TX"
,,,,,,,,,,,,"243","326080","LAST_TX"
,,,,,,,,,,,,"245","326084","LAST_TX"
,,,,,,,,,,,,"248","324846","LAST_TX"
,,,,,,,,,,,,"251","323138","LAST_TX"
,,,,,,,,,,,,"254","325796","LAST_TX"
,,,,,,,,,,,,"257","315558","LAST_TX"
,,,,,,,,,,,,"260","322336","LAST_TX"
,,,,,,,,,,,,"263","325994","LAST_TX"
,,,,,,,,,,,,"265","324605","LAST_TX"
,,,,,,,,,,,,"269","325680","LAST_TX"
,,,,,,,,,,,,"272","326100","LAST_TX"
