:ID,surname,nhs_no,name,age,:LABEL
0,Hamilton,117-66-8129,Todd,,Person
2,Hamilton,991-70-5333,Benjamin,,Person
5,Campbell,620-83-1546,Nancy,,Person
9,Garcia,595-90-8809,Todd,,Person
13,Turner,556-65-1110,Rachel,,Person
16,Kelly,770-22-6561,Mildred,,Person
20,Perez,627-79-5997,Stephen,,Person
23,Rodriguez,801-38-9691,Denise,,Person
27,Washington,664-34-9245,Antonio,,Person
31,Mason,506-14-4016,Nicholas,,Person
35,Warren,513-35-3310,Lawrence,,Person
39,Myers,627-15-0737,Phillip,,Person
43,Young,791-62-3536,Mary,,Person
47,Hughes,821-11-2735,Stephanie,,Person
50,Gibson,838-11-7607,Pamela,,Person
53,Nguyen,484-37-1068,Paul,,Person
57,Rodriguez,529-97-6193,Gregory,,Person
59,Parker,581-26-5472,Louis,,Person
62,White,797-43-7696,Sharon,,Person
66,Mason,444-91-2379,Philip,,Person
70,Nguyen,666-57-8563,Anne,,Person
74,Peters,686-68-0909,Mary,,Person
78,Rose,699-67-1766,Louis,,Person
82,Lynch,756-76-4958,Stephanie,,Person
86,Burns,497-20-7808,Peter,,Person
90,Riley,801-08-0289,Sarah,,Person
92,Reyes,777-00-7153,Judith,,Person
94,Cox,456-46-1699,Diane,,Person
98,Kelly,760-58-1758,Scott,,Person
102,Mason,661-39-2243,Michael,,Person
106,Hughes,678-06-9352,Maria,,Person
110,Harrison,525-30-4448,Thomas,,Person
114,Gordon,585-92-9741,Craig,,Person
118,Thompson,552-54-9978,Bobby,,Person
121,Austin,641-55-5639,Brian,,Person
124,Hernandez,638-96-9343,Lois,,Person
128,Porter,555-44-2746,Lillian,,Person
131,Mcdonald,442-54-3651,Dennis,,Person
135,Brown,586-76-9388,Gregory,,Person
137,Lewis,659-27-7887,Maria,,Person
141,Collins,795-37-7998,Irene,,Person
143,Chavez,766-98-1818,Carlos,,Person
147,Bennett,508-10-3584,Ashley,,Person
151,Austin,709-64-4352,Irene,,Person
155,Ruiz,640-26-0925,Sandra,,Person
159,Mills,589-69-0106,David,,Person
162,Warren,520-24-8922,Melissa,,Person
166,Fernandez,598-89-4448,Jerry,,Person
170,Garrett,577-47-4459,Harry,,Person
174,Ferguson,709-43-8302,Eugene,,Person
175,Lee,630-78-2095,Stephen,,Person
179,Rogers,819-35-6503,Kathleen,,Person
183,Grant,774-09-5550,George,,Person
