:ID,phoneNo,:LABEL
3,0-(070)893-3322,Phone
7,5-(997)640-5104,Phone
11,9-(882)417-7531,Phone
14,3-(989)030-3439,Phone
18,9-(184)752-7135,Phone
21,9-(450)223-5601,Phone
25,2-(590)588-9793,Phone
29,2-(766)829-0354,Phone
33,1-(279)890-0480,Phone
37,2-(387)231-8439,Phone
41,8-(858)072-9317,Phone
45,8-(009)144-4406,Phone
48,4-(120)613-7532,Phone
51,7-(476)009-0311,Phone
55,3-(292)025-2699,Phone
60,9-(659)123-3057,Phone
64,7-(570)450-3614,Phone
68,6-(679)431-1646,Phone
72,0-(608)989-7174,Phone
76,1-(914)504-2352,Phone
80,4-(941)776-4000,Phone
84,7-(961)469-9557,Phone
88,2-(809)918-0040,Phone
96,2-(029)966-6535,Phone
100,1-(452)691-3232,Phone
104,2-(564)296-0667,Phone
108,1-(963)530-6466,Phone
112,1-(073)741-4897,Phone
116,1-(363)319-5228,Phone
119,0-(403)215-3959,Phone
122,3-(480)070-3344,Phone
126,8-(637)421-1871,Phone
129,7-(243)275-1135,Phone
133,7-(228)141-6744,Phone
139,5-(395)541-9506,Phone
145,7-(096)928-0871,Phone
149,7-(649)705-8557,Phone
153,2-(693)573-1518,Phone
157,8-(795)014-1355,Phone
160,1-(651)511-7559,Phone
164,1-(225)632-0130,Phone
168,9-(213)214-3672,Phone
172,7-(118)349-1612,Phone
177,2-(847)452-0540,Phone
181,6-(404)077-2576,Phone
185,8-(366)537-8639,Phone
189,7-(330)155-5810,Phone
193,0-(582)918-0385,Phone
197,7-(727)924-9245,Phone
201,7-(694)665-2511,Phone
205,0-(649)542-7430,Phone
209,4-(505)836-4144,Phone
212,0-(000)061-7690,Phone
215,5-(952)765-8558,Phone
219,7-(151)166-1074,Phone
223,6-(275)624-6945,Phone
227,8-(198)983-1794,Phone
230,4-(154)863-2867,Phone
234,6-(043)667-8450,Phone
238,0-(856)456-7561,Phone
244,2-(549)625-8908,Phone
247,4-(414)576-2016,Phone
250,8-(689)151-8054,Phone
254,8-(620)398-1651,Phone
258,4-(149)887-3293,Phone
262,9-(243)847-6586,Phone
266,8-(724)082-8314,Phone
270,4-(026)761-9003,Phone
274,7-(757)503-7831,Phone
278,4-(748)672-4849,Phone
282,0-(711)302-8090,Phone
286,4-(016)610-9027,Phone
290,9-(308)627-0220,Phone
294,7-(662)391-8480,Phone
300,3-(947)657-8946,Phone
304,6-(867)621-6529,Phone
308,2-(758)193-0970,Phone
312,7-(081)649-1980,Phone
315,0-(859)960-0588,Phone
321,6-(547)570-3861,Phone
325,2-(570)195-5294,Phone
329,9-(481)398-3676,Phone
333,5-(919)291-7860,Phone
337,7-(492)933-2044,Phone
341,0-(934)666-0489,Phone
345,4-(855)748-1146,Phone
351,1-(787)495-0653,Phone
355,3-(798)782-2037,Phone
358,9-(277)720-3149,Phone
